bank_transaction_id,transaction_date,description,amount,transaction_type,utr
bank_txn_286450_000000,2024-01-04T01:43:00,Settlement credit for batch batch_706658_000000,11437467,credit,UTR202401033913368
bank_txn_778553_000001,2024-01-05T14:44:00,Settlement credit for batch batch_469348_000001,10495002,credit,UTR202401059059269
bank_txn_236384_000002,2024-01-06T21:38:00,Settlement credit for batch batch_922405_000002,14468432,credit,UTR202401065825775
bank_txn_888669_000003,2024-01-09T00:45:00,Settlement credit for batch batch_446620_000003,12225070,credit,UTR202401088823741
bank_txn_315565_000004,2024-01-10T01:55:00,Settlement credit for batch batch_462814_000004,9797475,credit,UTR202401098477055
bank_txn_395192_000005,2024-01-11T14:31:00,Settlement credit for batch batch_819368_000005,11096440,credit,UTR202401113579573
bank_txn_365018_000006,2024-01-13T19:41:00,Settlement credit for batch batch_962057_000006,13187688,credit,UTR202401131517059
bank_txn_875753_000007,2024-01-14T05:07:00,Settlement credit for batch batch_803571_000007,12503013,credit,UTR202401141912484
bank_txn_718241_000008,2024-01-16T19:32:00,Settlement credit for batch batch_240829_000008,11068309,credit,UTR202401166562703
bank_txn_646699_000009,2024-01-17T08:54:00,Settlement credit for batch batch_625465_000009,14478545,credit,UTR202401179563292
bank_txn_602290_000010,2024-01-19T22:45:00,Settlement credit for batch batch_670792_000010,14158210,credit,UTR202401193916715
bank_txn_859364_000011,2024-01-20T12:12:00,Settlement credit for batch batch_973846_000011,13836898,credit,UTR202401207893744
bank_txn_467544_000012,2024-01-22T20:21:00,Settlement credit for batch batch_719284_000012,12717869,credit,UTR202401222154992
bank_txn_287401_000013,2024-01-24T03:57:00,Settlement credit for batch batch_366881_000013,10571775,credit,UTR202401249005101
bank_txn_788049_000014,2024-01-25T17:25:00,Settlement credit for batch batch_421549_000014,11321226,credit,UTR202401256777340
bank_txn_464354_000015,2024-01-26T13:35:00,Settlement credit for batch batch_960072_000015,11337334,credit,UTR202401263940561
bank_txn_532459_000016,2024-01-27T22:10:00,Settlement credit for batch batch_303974_000016,10314181,credit,UTR202401278629590
bank_txn_989203_000017,2024-01-29T13:35:00,Settlement credit for batch batch_972600_000017,14430477,credit,UTR202401295418274
bank_txn_459762_000018,2024-01-31T22:25:00,Settlement credit for batch batch_430738_000018,12696209,credit,UTR202401319260100
bank_txn_517754_000019,2024-02-01T07:10:00,Settlement credit for batch batch_544536_000019,14342312,credit,UTR202402014532148
