payment_id,order_id,customer_id,amount,currency,payment_date,status,refund_amount
pay_216739_000000,order_126225_000000,cust_877572_000000,42098,INR,2024-01-01T00:21:00,captured,0
pay_246316_000001,order_872246_000001,cust_207473_000001,888323,INR,2023-12-31T23:28:00,captured,0
pay_671858_000002,order_191161_000002,cust_719176_000002,116663,INR,2024-01-01T01:54:00,captured,0
pay_198246_000003,order_329258_000003,cust_343962_000003,415631,INR,2024-01-01T01:03:00,captured,0
pay_688508_000004,order_308496_000004,cust_850800_000004,467696,INR,2024-01-01T01:03:00,captured,0
pay_539898_000005,order_331148_000005,cust_571029_000005,245852,INR,2024-01-01T03:09:00,captured,0
pay_106814_000006,order_895667_000006,cust_944962_000006,65392,INR,2024-01-01T04:43:00,captured,0
pay_391369_000007,order_263032_000007,cust_325772_000007,676472,INR,2024-01-01T04:43:00,captured,0
pay_197251_000008,order_498382_000008,cust_201414_000008,55082,INR,2024-01-01T04:13:00,captured,0
pay_377370_000009,order_946335_000009,cust_145561_000009,740870,INR,2024-01-01T06:17:00,captured,0
pay_230889_000010,order_496922_000010,cust_182627_000010,253709,INR,2024-01-01T07:08:00,captured,0
pay_759176_000011,order_748564_000011,cust_479201_000011,200814,INR,2024-01-01T07:46:00,captured,0
pay_172933_000012,order_148050_000012,cust_793384_000012,47930,INR,2024-01-01T08:30:00,captured,0
pay_996865_000013,order_344098_000013,cust_205907_000013,46434,INR,2024-01-01T08:10:00,captured,0
pay_766563_000014,order_974628_000014,cust_482554_000014,58520,INR,2024-01-01T09:58:00,captured,0
pay_319684_000015,order_802729_000015,cust_379946_000015,991076,INR,2024-01-01T09:45:00,captured,0
pay_779514_000016,order_174870_000016,cust_738720_000016,189725,INR,2024-01-01T11:27:00,captured,0
pay_864544_000017,order_356702_000017,cust_271339_000017,298943,INR,2024-01-01T12:08:00,captured,0
pay_771088_000018,order_821590_000018,cust_684004_000018,99733,INR,2024-01-01T11:34:00,captured,0
pay_983794_000019,order_905635_000019,cust_913694_000019,40021,INR,2024-01-01T12:41:00,captured,0
pay_133659_000020,order_944151_000020,cust_430776_000020,240373,INR,2024-01-01T14:45:00,captured,0
pay_321231_000021,order_694731_000021,cust_852787_000021,37869,INR,2024-01-01T14:08:00,captured,0
pay_623481_000022,order_514850_000022,cust_774079_000022,174905,INR,2024-01-01T15:23:00,captured,0
pay_246413_000023,order_358607_000023,cust_881177_000023,382579,INR,2024-01-01T15:33:00,captured,0
pay_883300_000024,order_712982_000024,cust_549245_000024,309400,INR,2024-01-01T16:33:00,captured,0
pay_329974_000025,order_245051_000025,cust_634277_000025,147662,INR,2024-01-01T17:46:00,captured,0
pay_149405_000026,order_214975_000026,cust_260265_000026,183876,INR,2024-01-01T18:36:00,captured,0
pay_813536_000027,order_542666_000027,cust_725380_000027,60432,INR,2024-01-01T19:41:00,captured,0
pay_724834_000028,order_590785_000028,cust_654816_000028,82512,INR,2024-01-01T19:48:00,captured,0
pay_112038_000029,order_813328_000029,cust_855731_000029,99353,INR,2024-01-01T20:50:00,captured,0
pay_663054_000030,order_887352_000030,cust_379786_000030,836048,INR,2024-01-01T21:53:00,captured,0
pay_216970_000031,order_407757_000031,cust_555884_000031,69470,INR,2024-01-01T21:43:00,captured,0
pay_857168_000032,order_854639_000032,cust_376183_000032,499487,INR,2024-01-01T22:00:00,captured,0
pay_632342_000033,order_211579_000033,cust_755674_000033,93748,INR,2024-01-01T22:22:00,captured,0
pay_738551_000034,order_308573_000034,cust_260263_000034,31174,INR,2024-01-02T00:04:00,captured,0
pay_916449_000035,order_656116_000035,cust_100599_000035,269951,INR,2024-01-02T01:09:00,captured,0
pay_120422_000036,order_217301_000036,cust_480612_000036,41385,INR,2024-01-02T01:02:00,captured,0
pay_352572_000037,order_694916_000037,cust_182582_000037,73699,INR,2024-01-02T01:07:00,captured,0
pay_172574_000038,order_897549_000038,cust_658582_000038,565934,INR,2024-01-02T03:44:00,captured,0
pay_791798_000039,order_598369_000039,cust_676510_000039,44741,INR,2024-01-02T03:16:00,captured,0
pay_736059_000040,order_543692_000040,cust_322086_000040,495976,INR,2024-01-02T04:07:00,captured,0
pay_823378_000041,order_310922_000041,cust_847581_000041,62296,INR,2024-01-02T05:33:00,captured,0
pay_781446_000042,order_491559_000042,cust_559381_000042,336708,INR,2024-01-02T06:25:00,captured,0
pay_359947_000043,order_335612_000043,cust_167136_000043,12757,INR,2024-01-02T05:15:00,captured,0
pay_680828_000044,order_341292_000044,cust_717024_000044,10942,INR,2024-01-02T07:15:00,captured,0
pay_842225_000045,order_761759_000045,cust_161733_000045,18834,INR,2024-01-02T07:09:00,captured,0
pay_132938_000046,order_446479_000046,cust_174299_000046,224782,INR,2024-01-02T09:55:00,captured,0
pay_801474_000047,order_608993_000047,cust_324643_000047,169369,INR,2024-01-02T08:35:00,captured,0
pay_698782_000048,order_704201_000048,cust_595631_000048,71993,INR,2024-01-02T10:32:00,captured,0
pay_526833_000049,order_299659_000049,cust_198907_000049,96374,INR,2024-01-02T11:43:00,captured,0
pay_471507_000050,order_544154_000050,cust_531071_000050,482245,INR,2024-01-02T11:55:00,captured,0
pay_806073_000051,order_785197_000051,cust_777568_000051,17944,INR,2024-01-02T11:06:00,captured,0
pay_863587_000052,order_455784_000052,cust_939482_000052,42591,INR,2024-01-02T12:51:00,captured,0
pay_299448_000053,order_662336_000053,cust_570405_000053,65296,INR,2024-01-02T13:24:00,captured,0
