entity_id,type,payment_id,order_id,settlement_id,settlement_utr,amount,debit,credit,fee,tax,settled_at,description
setl_865979_000000,payment,pay_216739_000000,order_126225_000000,batch_706658_000000,UTR202401033913368,42098,0,41205,757,136,2024-01-03T22:43:00,Payment settlement for pay_216739_000000
setl_954845_000001,payment,pay_246316_000001,order_872246_000001,batch_706658_000000,UTR202401033913368,888323,0,869456,15989,2878,2024-01-03T22:43:00,Payment settlement for pay_246316_000001
setl_234618_000002,payment,pay_671858_000002,order_191161_000002,batch_706658_000000,UTR202401033913368,116663,0,114187,2099,377,2024-01-03T22:43:00,Payment settlement for pay_671858_000002
setl_208584_000003,payment,pay_198246_000003,order_329258_000003,batch_706658_000000,UTR202401033913368,415631,0,406804,7481,1346,2024-01-03T22:43:00,Payment settlement for pay_198246_000003
setl_506224_000004,payment,pay_688508_000004,order_308496_000004,batch_706658_000000,UTR202401033913368,467696,0,457763,8418,1515,2024-01-03T22:43:00,Payment settlement for pay_688508_000004
setl_789461_000005,payment,pay_539898_000005,order_331148_000005,batch_706658_000000,UTR202401033913368,245852,0,240631,4425,796,2024-01-03T22:43:00,Payment settlement for pay_539898_000005
setl_729718_000006,payment,pay_106814_000006,order_895667_000006,batch_706658_000000,UTR202401033913368,65392,0,64004,1177,211,2024-01-03T22:43:00,Payment settlement for pay_106814_000006
setl_735605_000007,payment,pay_391369_000007,order_263032_000007,batch_706658_000000,UTR202401033913368,676472,0,662105,12176,2191,2024-01-03T22:43:00,Payment settlement for pay_391369_000007
setl_437477_000008,payment,pay_197251_000008,order_498382_000008,batch_706658_000000,UTR202401033913368,55082,0,53913,991,178,2024-01-03T22:43:00,Payment settlement for pay_197251_000008
setl_628597_000009,payment,pay_377370_000009,order_946335_000009,batch_706658_000000,UTR202401033913368,740870,0,725135,13335,2400,2024-01-03T22:43:00,Payment settlement for pay_377370_000009
setl_503348_000010,payment,pay_230889_000010,order_496922_000010,batch_706658_000000,UTR202401033913368,253709,0,248322,4566,821,2024-01-03T22:43:00,Payment settlement for pay_230889_000010
setl_539001_000011,payment,pay_759176_000011,order_748564_000011,batch_706658_000000,UTR202401033913368,200814,0,196550,3614,650,2024-01-03T22:43:00,Payment settlement for pay_759176_000011
setl_738576_000012,payment,pay_172933_000012,order_148050_000012,batch_706658_000000,UTR202401033913368,47930,0,46913,862,155,2024-01-03T22:43:00,Payment settlement for pay_172933_000012
setl_826155_000013,payment,pay_996865_000013,order_344098_000013,batch_706658_000000,UTR202401033913368,46434,0,45449,835,150,2024-01-03T22:43:00,Payment settlement for pay_996865_000013
setl_899407_000014,payment,pay_766563_000014,order_974628_000014,batch_706658_000000,UTR202401033913368,58520,0,57278,1053,189,2024-01-03T22:43:00,Payment settlement for pay_766563_000014
setl_360297_000015,payment,pay_319684_000015,order_802729_000015,batch_706658_000000,UTR202401033913368,991076,0,970026,17839,3211,2024-01-03T22:43:00,Payment settlement for pay_319684_000015
setl_386886_000016,payment,pay_779514_000016,order_174870_000016,batch_706658_000000,UTR202401033913368,189725,0,185696,3415,614,2024-01-03T22:43:00,Payment settlement for pay_779514_000016
setl_517196_000017,payment,pay_864544_000017,order_356702_000017,batch_706658_000000,UTR202401033913368,298943,0,292595,5380,968,2024-01-03T22:43:00,Payment settlement for pay_864544_000017
setl_459513_000018,payment,pay_771088_000018,order_821590_000018,batch_706658_000000,UTR202401033913368,99733,0,97615,1795,323,2024-01-03T22:43:00,Payment settlement for pay_771088_000018
setl_408463_000019,payment,pay_983794_000019,order_905635_000019,batch_706658_000000,UTR202401033913368,40021,0,39172,720,129,2024-01-03T22:43:00,Payment settlement for pay_983794_000019
setl_574843_000020,payment,pay_133659_000020,order_944151_000020,batch_706658_000000,UTR202401033913368,240373,0,235269,4326,778,2024-01-03T22:43:00,Payment settlement for pay_133659_000020
setl_943890_000021,payment,pay_321231_000021,order_694731_000021,batch_706658_000000,UTR202401033913368,37869,0,37066,681,122,2024-01-03T22:43:00,Payment settlement for pay_321231_000021
setl_239850_000022,payment,pay_623481_000022,order_514850_000022,batch_706658_000000,UTR202401033913368,174905,0,171191,3148,566,2024-01-03T22:43:00,Payment settlement for pay_623481_000022
setl_244892_000023,payment,pay_246413_000023,order_358607_000023,batch_706658_000000,UTR202401033913368,382579,0,374454,6886,1239,2024-01-03T22:43:00,Payment settlement for pay_246413_000023
setl_532794_000024,payment,pay_883300_000024,order_712982_000024,batch_706658_000000,UTR202401033913368,309400,0,302829,5569,1002,2024-01-03T22:43:00,Payment settlement for pay_883300_000024
setl_731792_000025,payment,pay_329974_000025,order_245051_000025,batch_706658_000000,UTR202401033913368,147662,0,144527,2657,478,2024-01-03T22:43:00,Payment settlement for pay_329974_000025
setl_834018_000026,payment,pay_149405_000026,order_214975_000026,batch_706658_000000,UTR202401033913368,183876,0,179972,3309,595,2024-01-03T22:43:00,Payment settlement for pay_149405_000026
setl_884782_000027,payment,pay_813536_000027,order_542666_000027,batch_706658_000000,UTR202401033913368,60432,0,59150,1087,195,2024-01-03T22:43:00,Payment settlement for pay_813536_000027
setl_637179_000028,payment,pay_724834_000028,order_590785_000028,batch_706658_000000,UTR202401033913368,82512,0,80760,1485,267,2024-01-03T22:43:00,Payment settlement for pay_724834_000028
setl_413433_000029,payment,pay_112038_000029,order_813328_000029,batch_706658_000000,UTR202401033913368,99353,0,97244,1788,321,2024-01-03T22:43:00,Payment settlement for pay_112038_000029
setl_984027_000030,payment,pay_663054_000030,order_887352_000030,batch_706658_000000,UTR202401033913368,836048,0,818292,15048,2708,2024-01-03T22:43:00,Payment settlement for pay_663054_000030
setl_835570_000031,payment,pay_216970_000031,order_407757_000031,batch_706658_000000,UTR202401033913368,69470,0,67995,1250,225,2024-01-03T22:43:00,Payment settlement for pay_216970_000031
setl_674416_000032,payment,pay_857168_000032,order_854639_000032,batch_706658_000000,UTR202401033913368,499487,0,488879,8990,1618,2024-01-03T22:43:00,Payment settlement for pay_857168_000032
setl_429159_000033,payment,pay_632342_000033,order_211579_000033,batch_706658_000000,UTR202401033913368,93748,0,91758,1687,303,2024-01-03T22:43:00,Payment settlement for pay_632342_000033
setl_846454_000034,payment,pay_738551_000034,order_308573_000034,batch_706658_000000,UTR202401033913368,31174,0,30513,561,100,2024-01-03T22:43:00,Payment settlement for pay_738551_000034
setl_872610_000035,payment,pay_916449_000035,order_656116_000035,batch_706658_000000,UTR202401033913368,269951,0,264218,4859,874,2024-01-03T22:43:00,Payment settlement for pay_916449_000035
setl_680472_000036,payment,pay_120422_000036,order_217301_000036,batch_706658_000000,UTR202401033913368,41385,0,40508,744,133,2024-01-03T22:43:00,Payment settlement for pay_120422_000036
setl_763311_000037,payment,pay_352572_000037,order_694916_000037,batch_706658_000000,UTR202401033913368,73699,0,72135,1326,238,2024-01-03T22:43:00,Payment settlement for pay_352572_000037
setl_327900_000038,payment,pay_172574_000038,order_897549_000038,batch_706658_000000,UTR202401033913368,565934,0,553915,10186,1833,2024-01-03T22:43:00,Payment settlement for pay_172574_000038
setl_310647_000039,payment,pay_791798_000039,order_598369_000039,batch_706658_000000,UTR202401033913368,44741,0,43792,805,144,2024-01-03T22:43:00,Payment settlement for pay_791798_000039
setl_319899_000040,payment,pay_736059_000040,order_543692_000040,batch_706658_000000,UTR202401033913368,495976,0,485443,8927,1606,2024-01-03T22:43:00,Payment settlement for pay_736059_000040
setl_754487_000041,payment,pay_823378_000041,order_310922_000041,batch_706658_000000,UTR202401033913368,62296,0,60974,1121,201,2024-01-03T22:43:00,Payment settlement for pay_823378_000041
setl_849086_000042,payment,pay_781446_000042,order_491559_000042,batch_706658_000000,UTR202401033913368,336708,0,329558,6060,1090,2024-01-03T22:43:00,Payment settlement for pay_781446_000042
setl_404694_000043,payment,pay_359947_000043,order_335612_000043,batch_706658_000000,UTR202401033913368,12757,0,12487,229,41,2024-01-03T22:43:00,Payment settlement for pay_359947_000043
setl_819964_000044,payment,pay_680828_000044,order_341292_000044,batch_706658_000000,UTR202401033913368,10942,0,10711,196,35,2024-01-03T22:43:00,Payment settlement for pay_680828_000044
setl_462066_000045,payment,pay_842225_000045,order_761759_000045,batch_706658_000000,UTR202401033913368,18834,0,18434,339,61,2024-01-03T22:43:00,Payment settlement for pay_842225_000045
setl_805034_000046,payment,pay_132938_000046,order_446479_000046,batch_706658_000000,UTR202401033913368,224782,0,220008,4046,728,2024-01-03T22:43:00,Payment settlement for pay_132938_000046
setl_239116_000047,payment,pay_801474_000047,order_608993_000047,batch_706658_000000,UTR202401033913368,169369,0,165773,3048,548,2024-01-03T22:43:00,Payment settlement for pay_801474_000047
setl_844904_000048,payment,pay_698782_000048,order_704201_000048,batch_706658_000000,UTR202401033913368,71993,0,70465,1295,233,2024-01-03T22:43:00,Payment settlement for pay_698782_000048
setl_781664_000049,payment,pay_526833_000049,order_299659_000049,batch_706658_000000,UTR202401033913368,96374,0,94328,1734,312,2024-01-03T22:43:00,Payment settlement for pay_526833_000049
setl_711116_000050,payment,pay_471507_000050,order_544154_000050,batch_469348_000001,UTR202401059059269,482245,0,472003,8680,1562,2024-01-05T10:44:00,Payment settlement for pay_471507_000050
setl_698357_000051,payment,pay_806073_000051,order_785197_000051,batch_469348_000001,UTR202401059059269,17944,0,17565,322,57,2024-01-05T10:44:00,Payment settlement for pay_806073_000051
setl_799565_000052,payment,pay_863587_000052,order_455784_000052,batch_469348_000001,UTR202401059059269,42591,0,41688,766,137,2024-01-05T10:44:00,Payment settlement for pay_863587_000052
setl_844618_000053,payment,pay_299448_000053,order_662336_000053,batch_469348_000001,UTR202401059059269,65296,0,63910,1175,211,2024-01-05T10:44:00,Payment settlement for pay_299448_000053
setl_537757_000054,payment,pay_392075_000054,order_585100_000054,batch_469348_000001,UTR202401059059269,68082,0,66637,1225,220,2024-01-05T10:44:00,Payment settlement for pay_392075_000054
setl_806995_000055,payment,pay_997546_000055,order_677057_000055,batch_469348_000001,UTR202401059059269,95477,0,93450,1718,309,2024-01-05T10:44:00,Payment settlement for pay_997546_000055
setl_884197_000056,payment,pay_976638_000056,order_115474_000056,batch_469348_000001,UTR202401059059269,944960,0,924890,17009,3061,2024-01-05T10:44:00,Payment settlement for pay_976638_000056
setl_982260_000057,payment,pay_274389_000057,order_526156_000057,batch_469348_000001,UTR202401059059269,212065,0,207561,3817,687,2024-01-05T10:44:00,Payment settlement for pay_274389_000057
setl_659837_000058,payment,pay_520521_000058,order_161483_000058,batch_469348_000001,UTR202401059059269,10282,0,10064,185,33,2024-01-05T10:44:00,Payment settlement for pay_520521_000058
setl_399817_000059,payment,pay_378085_000059,order_922157_000059,batch_469348_000001,UTR202401059059269,249552,0,244253,4491,808,2024-01-05T10:44:00,Payment settlement for pay_378085_000059
setl_988459_000060,payment,pay_830429_000060,order_865990_000060,batch_469348_000001,UTR202401059059269,447011,0,437517,8046,1448,2024-01-05T10:44:00,Payment settlement for pay_830429_000060
setl_542904_000061,payment,pay_610311_000061,order_262316_000061,batch_469348_000001,UTR202401059059269,38534,0,37717,693,124,2024-01-05T10:44:00,Payment settlement for pay_610311_000061
setl_947568_000062,payment,pay_707314_000062,order_871476_000062,batch_469348_000001,UTR202401059059269,51104,0,50020,919,165,2024-01-05T10:44:00,Payment settlement for pay_707314_000062
setl_113390_000063,payment,pay_152578_000063,order_712554_000063,batch_469348_000001,UTR202401059059269,378463,0,370425,6812,1226,2024-01-05T10:44:00,Payment settlement for pay_152578_000063
setl_648122_000064,payment,pay_159642_000064,order_632496_000064,batch_469348_000001,UTR202401059059269,18981,0,18579,341,61,2024-01-05T10:44:00,Payment settlement for pay_159642_000064
setl_211642_000065,payment,pay_171262_000065,order_808011_000065,batch_469348_000001,UTR202401059059269,162855,0,159397,2931,527,2024-01-05T10:44:00,Payment settlement for pay_171262_000065
setl_126499_000066,payment,pay_697347_000066,order_358175_000066,batch_469348_000001,UTR202401059059269,120836,0,118270,2175,391,2024-01-05T10:44:00,Payment settlement for pay_697347_000066
setl_499371_000067,payment,pay_185965_000067,order_539589_000067,batch_469348_000001,UTR202401059059269,396341,0,387923,7134,1284,2024-01-05T10:44:00,Payment settlement for pay_185965_000067
setl_252386_000068,payment,pay_431737_000068,order_373432_000068,batch_469348_000001,UTR202401059059269,875490,0,856896,15758,2836,2024-01-05T10:44:00,Payment settlement for pay_431737_000068
setl_155642_000069,payment,pay_350280_000069,order_378517_000069,batch_469348_000001,UTR202401059059269,98039,0,95958,1764,317,2024-01-05T10:44:00,Payment settlement for pay_350280_000069
setl_802812_000070,payment,pay_414569_000070,order_579434_000070,batch_469348_000001,UTR202401059059269,990594,0,969555,17830,3209,2024-01-05T10:44:00,Payment settlement for pay_414569_000070
setl_159354_000071,payment,pay_109767_000071,order_580547_000071,batch_469348_000001,UTR202401059059269,152418,0,149182,2743,493,2024-01-05T10:44:00,Payment settlement for pay_109767_000071
setl_309612_000072,payment,pay_663750_000072,order_323508_000072,batch_469348_000001,UTR202401059059269,27361,0,26781,492,88,2024-01-05T10:44:00,Payment settlement for pay_663750_000072
setl_379947_000073,payment,pay_465962_000073,order_172132_000073,batch_469348_000001,UTR202401059059269,47353,0,46348,852,153,2024-01-05T10:44:00,Payment settlement for pay_465962_000073
setl_886626_000074,payment,pay_559469_000074,order_974244_000074,batch_469348_000001,UTR202401059059269,658606,0,644619,11854,2133,2024-01-05T10:44:00,Payment settlement for pay_559469_000074
setl_923690_000075,payment,pay_946305_000075,order_785743_000075,batch_469348_000001,UTR202401059059269,97538,0,95468,1755,315,2024-01-05T10:44:00,Payment settlement for pay_946305_000075
setl_268752_000076,payment,pay_681542_000076,order_413921_000076,batch_469348_000001,UTR202401059059269,27601,0,27016,496,89,2024-01-05T10:44:00,Payment settlement for pay_681542_000076
setl_400538_000077,payment,pay_221035_000077,order_212235_000077,batch_469348_000001,UTR202401059059269,181499,0,177646,3266,587,2024-01-05T10:44:00,Payment settlement for pay_221035_000077
setl_816586_000078,payment,pay_395442_000078,order_734210_000078,batch_469348_000001,UTR202401059059269,679768,0,665331,12235,2202,2024-01-05T10:44:00,Payment settlement for pay_395442_000078
setl_362732_000079,payment,pay_820892_000079,order_765046_000079,batch_469348_000001,UTR202401059059269,76244,0,74626,1372,246,2024-01-05T10:44:00,Payment settlement for pay_820892_000079
setl_253541_000080,payment,pay_363319_000080,order_987204_000080,batch_469348_000001,UTR202401059059269,93136,0,91159,1676,301,2024-01-05T10:44:00,Payment settlement for pay_363319_000080
setl_980155_000081,payment,pay_969634_000081,order_390120_000081,batch_469348_000001,UTR202401059059269,53719,0,52580,966,173,2024-01-05T10:44:00,Payment settlement for pay_969634_000081
setl_165046_000082,payment,pay_237174_000082,order_768061_000082,batch_469348_000001,UTR202401059059269,67912,0,66471,1222,219,2024-01-05T10:44:00,Payment settlement for pay_237174_000082
setl_824141_000083,payment,pay_839945_000083,order_548462_000083,batch_469348_000001,UTR202401059059269,24663,0,24141,443,79,2024-01-05T10:44:00,Payment settlement for pay_839945_000083
setl_922458_000084,payment,pay_824586_000084,order_256294_000084,batch_469348_000001,UTR202401059059269,58393,0,57153,1051,189,2024-01-05T10:44:00,Payment settlement for pay_824586_000084
setl_409477_000085,payment,pay_679364_000085,order_255287_000085,batch_469348_000001,UTR202401059059269,15482,0,15154,278,50,2024-01-05T10:44:00,Payment settlement for pay_679364_000085
setl_313910_000086,payment,pay_482364_000086,order_934794_000086,batch_469348_000001,UTR202401059059269,37535,0,36739,675,121,2024-01-05T10:44:00,Payment settlement for pay_482364_000086
setl_890200_000087,payment,pay_361650_000087,order_799330_000087,batch_469348_000001,UTR202401059059269,83385,0,81615,1500,270,2024-01-05T10:44:00,Payment settlement for pay_361650_000087
setl_667460_000088,payment,pay_526117_000088,order_750810_000088,batch_469348_000001,UTR202401059059269,41029,0,40159,738,132,2024-01-05T10:44:00,Payment settlement for pay_526117_000088
setl_133875_000089,payment,pay_270395_000089,order_938742_000089,batch_469348_000001,UTR202401059059269,64040,0,62681,1152,207,2024-01-05T10:44:00,Payment settlement for pay_270395_000089
setl_476105_000090,payment,pay_288073_000090,order_872343_000090,batch_469348_000001,UTR202401059059269,451224,0,441641,8122,1461,2024-01-05T10:44:00,Payment settlement for pay_288073_000090
setl_953568_000091,payment,pay_870763_000091,order_950132_000091,batch_469348_000001,UTR202401059059269,30866,0,30212,555,99,2024-01-05T10:44:00,Payment settlement for pay_870763_000091
setl_574579_000092,payment,pay_835343_000092,order_213346_000092,batch_469348_000001,UTR202401059059269,71694,0,70172,1290,232,2024-01-05T10:44:00,Payment settlement for pay_835343_000092
setl_207458_000093,payment,pay_309267_000093,order_956253_000093,batch_469348_000001,UTR202401059059269,50001,0,48939,900,162,2024-01-05T10:44:00,Payment settlement for pay_309267_000093
setl_746036_000094,payment,pay_933980_000094,order_338651_000094,batch_469348_000001,UTR202401059059269,96511,0,94462,1737,312,2024-01-05T10:44:00,Payment settlement for pay_933980_000094
setl_808340_000095,payment,pay_517821_000095,order_444207_000095,batch_469348_000001,UTR202401059059269,46585,0,45597,838,150,2024-01-05T10:44:00,Payment settlement for pay_517821_000095
