payment_id,order_id,customer_id,amount,currency,payment_date,status,refund_amount
pay_216739_000000,order_126225_000000,cust_877572_000000,42098,INR,2024-01-01T00:21:00,captured,0
pay_246316_000001,order_872246_000001,cust_207473_000001,888323,INR,2024-01-01T06:28:00,captured,0
pay_671858_000002,order_191161_000002,cust_719176_000002,116663,INR,2024-01-01T14:54:00,captured,0
pay_198246_000003,order_329258_000003,cust_343962_000003,415631,INR,2024-01-01T20:03:00,captured,0
pay_688508_000004,order_308496_000004,cust_850800_000004,467696,INR,2024-01-02T03:03:00,captured,0
pay_539898_000005,order_331148_000005,cust_571029_000005,245852,INR,2024-01-02T12:09:00,captured,0
pay_106814_000006,order_895667_000006,cust_944962_000006,65392,INR,2024-01-02T19:43:00,captured,0
pay_391369_000007,order_263032_000007,cust_325772_000007,676472,INR,2024-01-03T01:43:00,captured,331471
pay_197251_000008,order_498382_000008,cust_201414_000008,55082,INR,2024-01-03T08:13:00,captured,0
pay_377370_000009,order_946335_000009,cust_145561_000009,740870,INR,2024-01-03T16:17:00,captured,0
pay_230889_000010,order_496922_000010,cust_182627_000010,253709,INR,2024-01-04T00:08:00,captured,0
pay_759176_000011,order_748564_000011,cust_479201_000011,200814,INR,2024-01-04T07:46:00,captured,0
pay_172933_000012,order_148050_000012,cust_793384_000012,47930,INR,2024-01-04T14:30:00,captured,0
pay_996865_000013,order_344098_000013,cust_205907_000013,46434,INR,2024-01-04T20:10:00,captured,0
pay_766563_000014,order_974628_000014,cust_482554_000014,58520,INR,2024-01-05T03:58:00,captured,0
pay_319684_000015,order_802729_000015,cust_379946_000015,991076,INR,2024-01-05T11:45:00,captured,0
pay_779514_000016,order_174870_000016,cust_738720_000016,189725,INR,2024-01-05T19:27:00,captured,0
pay_864544_000017,order_356702_000017,cust_271339_000017,298943,INR,2024-01-06T02:08:00,captured,0
pay_771088_000018,order_821590_000018,cust_684004_000018,99733,INR,2024-01-06T08:34:00,captured,0
