entity_id,type,payment_id,order_id,settlement_id,settlement_utr,amount,debit,credit,fee,tax,settled_at,description
setl_367095_000000,payment,pay_216739_000000,order_126225_000000,batch_704596_000000,UTR202401164188992,42098,0,41205,757,136,2024-01-16T22:43:00,Payment settlement for pay_216739_000000
setl_146542_000001,payment,pay_246316_000001,order_872246_000001,batch_704596_000000,UTR202401164188992,888323,0,869456,15989,2878,2024-01-16T22:43:00,Payment settlement for pay_246316_000001
setl_843215_000002,payment,pay_671858_000002,order_191161_000002,batch_704596_000000,UTR202401164188992,116663,0,114187,2099,377,2024-01-16T22:43:00,Payment settlement for pay_671858_000002
setl_557239_000003,payment,pay_198246_000003,order_329258_000003,batch_704596_000000,UTR202401164188992,415631,0,406804,7481,1346,2024-01-16T22:43:00,Payment settlement for pay_198246_000003
setl_101773_000004,payment,pay_688508_000004,order_308496_000004,batch_704596_000000,UTR202401164188992,467696,0,457763,8418,1515,2024-01-16T22:43:00,Payment settlement for pay_688508_000004
setl_645175_000005,payment,pay_539898_000005,order_331148_000005,batch_704596_000000,UTR202401164188992,245852,0,240631,4425,796,2024-01-16T22:43:00,Payment settlement for pay_539898_000005
setl_945687_000006,payment,pay_106814_000006,order_895667_000006,batch_704596_000000,UTR202401164188992,65392,0,64004,1177,211,2024-01-16T22:43:00,Payment settlement for pay_106814_000006
setl_664607_000007,payment,pay_391369_000007,order_263032_000007,batch_704596_000000,UTR202401164188992,676472,0,662105,12176,2191,2024-01-16T22:43:00,Payment settlement for pay_391369_000007
setl_820221_000008,payment,pay_197251_000008,order_498382_000008,batch_704596_000000,UTR202401164188992,55082,0,53913,991,178,2024-01-16T22:43:00,Payment settlement for pay_197251_000008
setl_854377_000009,payment,pay_377370_000009,order_946335_000009,batch_704596_000000,UTR202401164188992,740870,0,725135,13335,2400,2024-01-16T22:43:00,Payment settlement for pay_377370_000009
setl_877991_000010,payment,pay_230889_000010,order_496922_000010,batch_704596_000000,UTR202401164188992,253709,0,248322,4566,821,2024-01-16T22:43:00,Payment settlement for pay_230889_000010
setl_872840_000011,payment,pay_759176_000011,order_748564_000011,batch_704596_000000,UTR202401164188992,200814,0,196550,3614,650,2024-01-16T22:43:00,Payment settlement for pay_759176_000011
setl_803204_000012,payment,pay_172933_000012,order_148050_000012,batch_704596_000000,UTR202401164188992,47930,0,46913,862,155,2024-01-16T22:43:00,Payment settlement for pay_172933_000012
setl_306606_000013,payment,pay_996865_000013,order_344098_000013,batch_704596_000000,UTR202401164188992,46434,0,45449,835,150,2024-01-16T22:43:00,Payment settlement for pay_996865_000013
setl_481913_000014,payment,pay_766563_000014,order_974628_000014,batch_704596_000000,UTR202401164188992,58520,0,57278,1053,189,2024-01-16T22:43:00,Payment settlement for pay_766563_000014
setl_552248_000015,payment,pay_319684_000015,order_802729_000015,batch_704596_000000,UTR202401164188992,991076,0,970026,17839,3211,2024-01-16T22:43:00,Payment settlement for pay_319684_000015
setl_173372_000016,payment,pay_779514_000016,order_174870_000016,batch_704596_000000,UTR202401164188992,189725,0,185696,3415,614,2024-01-16T22:43:00,Payment settlement for pay_779514_000016
setl_796503_000017,payment,pay_864544_000017,order_356702_000017,batch_704596_000000,UTR202401164188992,298943,0,292595,5380,968,2024-01-16T22:43:00,Payment settlement for pay_864544_000017
setl_446239_000018,payment,pay_771088_000018,order_821590_000018,batch_704596_000000,UTR202401164188992,99733,0,97615,1795,323,2024-01-16T22:43:00,Payment settlement for pay_771088_000018
setl_753425_000019,payment,pay_983794_000019,order_905635_000019,batch_704596_000000,UTR202401164188992,40021,0,39172,720,129,2024-01-16T22:43:00,Payment settlement for pay_983794_000019
setl_429164_000020,payment,pay_133659_000020,order_944151_000020,batch_704596_000000,UTR202401164188992,240373,0,235269,4326,778,2024-01-16T22:43:00,Payment settlement for pay_133659_000020
setl_795612_000021,payment,pay_321231_000021,order_694731_000021,batch_704596_000000,UTR202401164188992,37869,0,37066,681,122,2024-01-16T22:43:00,Payment settlement for pay_321231_000021
setl_989208_000022,payment,pay_623481_000022,order_514850_000022,batch_704596_000000,UTR202401164188992,174905,0,171191,3148,566,2024-01-16T22:43:00,Payment settlement for pay_623481_000022
setl_230679_000023,payment,pay_246413_000023,order_358607_000023,batch_704596_000000,UTR202401164188992,382579,0,374454,6886,1239,2024-01-16T22:43:00,Payment settlement for pay_246413_000023
setl_854717_000024,payment,pay_883300_000024,order_712982_000024,batch_704596_000000,UTR202401164188992,309400,0,302829,5569,1002,2024-01-16T22:43:00,Payment settlement for pay_883300_000024
setl_414910_000025,payment,pay_329974_000025,order_245051_000025,batch_704596_000000,UTR202401164188992,147662,0,144527,2657,478,2024-01-16T22:43:00,Payment settlement for pay_329974_000025
